	word	A	E	C	N	O	nnon
325	Unconventional	-0.02	0.03	-0.32	-0.1	0.44	
326	Knowledgeable	0.02	0.05	0.26	-0.16	0.43	
327	Deep	0.2	-0.07	0.03	0.01	0.43	
328	Ingenious	-0.02	0.11	0.06	-0.18	0.43	
329	Inquisitive	0.05	0.09	-0.03	0.0	0.43	
330	Insightful	0.11	-0.04	0.01	-0.1	0.42	
331	Nonconforming	-0.09	0.04	-0.17	-0.17	0.42	
332	Analytical	-0.08	-0.12	0.27	-0.02	0.42	
333	Introspective	0.12	-0.26	-0.05	0.05	0.41	
334	Contemplative	0.15	-0.24	0.02	0.03	0.41	
335	Perceptive	0.14	0.04	0.19	-0.04	0.4	
336	Articulate	0.07	0.1	0.15	0.01	0.38	
337	Inventive	-0.04	0.16	0.06	-0.17	0.36	
338	Creative	0.07	0.1	0.0	-0.08	0.33	
339	Shrewd	-0.33	0.02	0.02	-0.09	0.33	
340	Individualistic	-0.17	0.08	0.06	-0.13	0.33	
341	Clever	-0.09	0.18	0.14	-0.21	0.33	
342	Intense	-0.02	0.12	0.11	0.12	0.31	
343	Imaginative	0.05	0.14	-0.04	-0.05	0.31	
344	Independent	-0.14	0.2	0.18	-0.2	0.3	
345	Self-critical	0.18	-0.21	0.03	0.24	0.3	
346	Progressive	0.15	0.16	0.17	-0.08	0.28	
347	Diplomatic	0.23	0.08	0.13	-0.06	0.28	
348	Empathic	0.22	-0.01	-0.01	0.03	0.28	
349	Versatile	0.12	0.16	0.09	-0.23	0.27	
350	Distrustful	-0.27	-0.19	-0.11	0.18	0.27	
351	Idealistic	0.18	0.02	-0.1	0.12	0.26	
352	Eloquent	0.1	0.18	0.16	0.0	0.25	
353	Artistic	0.12	0.01	0.01	0.01	0.25	
354	Candid	-0.01	0.15	-0.06	-0.1	0.25	
355	Worldly	-0.04	0.2	0.09	-0.04	0.24	
356	Unpredictable	0.03	0.1	-0.17	0.12	0.23	
357	Scrupulous	0.04	-0.11	0.12	-0.09	0.23	
358	Curious	0.05	0.13	0.02	0.05	0.23	
359	Tenacious	-0.06	0.1	0.1	-0.05	0.22	
360	Animated	0.17	0.13	-0.19	0.05	0.21	
361	Sensual	0.12	0.16	-0.13	0.16	0.2	
362	Ethical	0.2	-0.17	0.18	-0.1	0.2	
363	Autonomous	-0.03	-0.1	0.13	-0.12	0.18	
364	Subjective	0.04	-0.01	-0.02	0.05	0.06	
365	Simple	0.12	-0.13	0.01	-0.17	-0.45	
366	Conventional	0.12	-0.13	0.33	-0.06	-0.38	
367	Traditional	0.14	-0.14	0.28	0.02	-0.36	
368	Uninquisitive	-0.03	-0.21	0.0	-0.14	-0.35	
369	Unintelligent	0.07	-0.09	-0.16	-0.02	-0.34	
370	Surly	-0.24	0.03	0.13	-0.04	-0.31	
371	Pompous	-0.16	0.12	0.07	0.08	-0.31	
372	Dependent	0.22	-0.14	-0.07	0.18	-0.29	
373	Shallow	-0.1	-0.12	-0.09	-0.03	-0.29	
374	Uninteltectual	0.1	-0.1	-0.2	-0.09	-0.27	
375	Patronizing	-0.02	0.03	0.04	0.06	-0.27	
376	Ignorant	0.04	-0.07	-0.18	0.02	-0.27	
377	Inarticulate	0.03	-0.15	-0.12	-0.12	-0.26	
378	Pretentious	-0.15	0.14	-0.02	0.1	-0.25	
379	Unscrupulous	-0.06	0.08	-0.06	-0.05	-0.24	
380	Predictable	0.04	-0.19	0.14	-0.19	-0.22	
381	Condescending	-0.11	-0.07	0.06	0.06	-0.15	
382	Dogmatic	-0.1	-0.04	0.06	0.01	-0.11	
383	Sympathetic	0.62	0.02	-0.05	0.07	0.03	
384	Kind	0.6	0.07	0.06	0.02	0.0	
385	Warm	0.56	0.26	0.06	0.1	0.07	
386	Understanding	0.33	0.03	0.1	-0.04	0.13	
387	Courteous	0.53	-0.07	0.23	0.02	0.0	
388	Compassionate	0.32	0.12	0.02	0.13	0.18	
